,age,workclass,education,education-num,marital-status,occupation,relationship,ethnicity,gender,capital-gain,capital-loss,hours-per-week,loan
0,39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, <=50K
1,50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, <=50K
2,38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, <=50K
3,53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, <=50K
4,28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, <=50K
5,37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, <=50K
6,49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, <=50K
7,52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, >50K
8,31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, >50K
9,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, >50K
10,37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, >50K
11,30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, >50K
12,23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, <=50K
13,32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, <=50K
14,40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, >50K
15,34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, <=50K
16,25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, <=50K
17,32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, <=50K
18,38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, <=50K
19,43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, >50K
20,40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, >50K
21,54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, <=50K
22,35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, <=50K
23,43, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, <=50K
24,59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, <=50K
25,56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, >50K
26,19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, <=50K
27,54, ?, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, >50K
28,39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, <=50K
29,49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, <=50K
30,23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, <=50K
31,20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,44, <=50K
32,45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, <=50K
33,30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, <=50K
34,22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, <=50K
35,48, Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, <=50K
36,21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, <=50K
37,19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, <=50K
38,31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, >50K
39,48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, <=50K
40,31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, <=50K
41,53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, <=50K
42,24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, <=50K
43,49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, <=50K
44,25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, <=50K
45,57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, >50K
46,53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, <=50K
47,44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, <=50K
